RM,Aluno,Turma,E-mail aluno,Pai,CPF pai,E-mail pai,Tel pai,Mae,CPF mae,E-mail mae,Tel mae
935127,Priscilla Prissy,3 B,935127_aluno@email.com.br,Theodore Ted,17518679568,pai.935127.46@gmail.com,(43)35841-9475,Frederick Fred,10944297905,mae.935127.83@gmail.com,(88)64331-5575
919597,Mildred Milly,2 B,919597_aluno@email.com.br,Stephan Steve,86705866374,pai.919597.68@gmail.com,(10)20586-4472,Katelyn Kaye,91532479237,mae.919597.55@gmail.com,(97)81648-4943
910030,Gabriella Ella,9 C,910030_aluno@email.com.br,Beatrice Bea,41251413447,910030_pai@email.com.br,(75)17032-6493,Willie Fred,33417972752,910030_mae@email.com.br,(75)40569-4619
906994,Florence Flora,6 A,906994_aluno@email.com.br,Martina Tina,92046959564,906994_pai@email.com.br,(51)15783-7259,Lavina Viney,83646771948,mae.906994.27@gmail.com,(64)57794-1482
902552,Augustus Gus,8 B,aluno.902552.33@gmail.com,Rosabella Rose,59142449091,902552_pai@email.com.br,(85)08658-3254,Teresa Terry,77780852502,mae.902552.84@gmail.com,(89)10741-4923
899096,Heloise Lois,2 A,aluno.899096.99@gmail.com,Peg Peggy,60339755791,pai.899096.36@gmail.com,(88)69581-4864,Elwood Woody,70114255575,899096_mae@email.com.br,(84)95111-3567
890369,Rick Ricky,1 C,aluno.890369.68@gmail.com,Isabel Ib,55471280214,pai.890369.63@gmail.com,(21)26626-9682,Paulina Polly,53842746165,mae.890369.92@gmail.com,(98)32956-4227
879020,Gerald Gerry,7 A,879020_aluno@email.com.br,Seymour Morey,81678855033,879020_pai@email.com.br,(40)97583-7450,Ann Annie,19612849509,879020_mae@email.com.br,(27)85823-8369
875097,Rebecca Becca,4 C,aluno.875097.58@gmail.com,Victoria Vicky,30034645477,pai.875097.92@gmail.com,(31)19740-7613,Kristine Chris,12578372074,875097_mae@email.com.br,(87)20623-7961
870679,Sylvester Sly,1 C,870679_aluno@email.com.br,Cassandra Sandra,75683940454,pai.870679.34@gmail.com,(53)15679-6743,Heloise Elouise,16237600497,mae.870679.84@gmail.com,(85)88435-5954
855015,Frances Frannie,2 C,855015_aluno@email.com.br,Hester Hetty,17888740016,pai.855015.69@gmail.com,(32)42586-3009,Phillip Phil,83404221225,855015_mae@email.com.br,(11)55508-8288
842913,Epaphroditius Ditus,9 C,842913_aluno@email.com.br,Susan Susie,31894759820,842913_pai@email.com.br,(18)51731-1379,Oliver Ollie,51521563894,842913_mae@email.com.br,(24)71732-2073
818309,Lavina Ina,5 C,aluno.818309.88@gmail.com,Bobby Rob,63372801026,818309_pai@email.com.br,(91)22060-9840,Nancy Nan,42460620970,mae.818309.67@gmail.com,(54)18328-2909
812403,Elias Lee,4 C,aluno.812403.99@gmail.com,Timothy Timmy,54631712659,pai.812403.88@gmail.com,(52)21848-9722,Isabella Bella,24155355145,mae.812403.55@gmail.com,(57)67102-7753
800316,Madeline Lena,2 C,aluno.800316.87@gmail.com,Sarah Sadie,82126931522,pai.800316.76@gmail.com,(48)72957-7549,Isabella Nib,34094704078,mae.800316.23@gmail.com,(18)68745-8878
767895,Jeffrey Jeff,7 A,aluno.767895.11@gmail.com,Rodger Rod,85298127528,767895_pai@email.com.br,(35)30258-2874,Edmund Eddie,80971709574,mae.767895.50@gmail.com,(63)32914-1165
750250,Joshua Jos,3 B,750250_aluno@email.com.br,Philinda Lindy,88968233326,750250_pai@email.com.br,(62)77346-0372,William Bill,71648825842,750250_mae@email.com.br,(46)97715-3351
745132,Fredericka Ricka,4 A,745132_aluno@email.com.br,Regina Gina,84464743956,745132_pai@email.com.br,(57)10533-1202,Waldo Ossy,76874295614,mae.745132.41@gmail.com,(80)18618-7342
739990,Katherine Kathy,8 C,739990_aluno@email.com.br,Katherine Lena,58582020637,739990_pai@email.com.br,(48)10847-6601,Silas Si,27948771944,mae.739990.32@gmail.com,(44)10541-0105
738129,Theresa Tessa,2 C,aluno.738129.32@gmail.com,Abel Ab,42648014997,pai.738129.64@gmail.com,(24)91191-6312,Elisha Lish,20594520543,mae.738129.52@gmail.com,(31)49004-8126
732296,Louisa Eliza,6 A,732296_aluno@email.com.br,Gabby Gabe,36555148261,732296_pai@email.com.br,(21)88035-9790,Calvin Cal,57365409405,mae.732296.36@gmail.com,(25)26074-4138
704719,Lilly Lily,8 C,aluno.704719.83@gmail.com,Eva Eve,52231442224,704719_pai@email.com.br,(22)43018-8377,Joann Jo,45839383444,mae.704719.86@gmail.com,(41)37863-4478
704217,Amelia Millie,8 B,aluno.704217.58@gmail.com,Mehitabel Mitty,62319401368,pai.704217.78@gmail.com,(98)23248-5442,Ronald Ronny,93997072050,704217_mae@email.com.br,(96)93887-9466
701696,Isabel Belle,7 C,701696_aluno@email.com.br,Bert Bertie,22111384932,701696_pai@email.com.br,(87)49656-9532,Ernest Ernie,31126953169,mae.701696.45@gmail.com,(13)33074-1164
690895,Roseann Roz,4 B,690895_aluno@email.com.br,James Jamie,71275874456,690895_pai@email.com.br,(11)80555-9063,Margaret Maggy,62874457301,690895_mae@email.com.br,(15)41513-7958
682227,Wilbur Willy,9 C,aluno.682227.82@gmail.com,Clifton Cliff,91912838741,682227_pai@email.com.br,(49)86528-3784,Cynthia Cintha,31156726713,682227_mae@email.com.br,(91)43924-8868
680561,Cornelius Conny,3 B,aluno.680561.23@gmail.com,Luella Lula,72916391514,pai.680561.22@gmail.com,(24)58598-3472,Steven Steph,70823093439,mae.680561.83@gmail.com,(62)59506-4567
668707,Junior JR,1 B,aluno.668707.24@gmail.com,Keziah Kizzie,99772657781,pai.668707.20@gmail.com,(86)71562-8516,Christine Kristy,43026948007,mae.668707.28@gmail.com,(43)09462-5572
659985,Theresa Tessie,8 A,659985_aluno@email.com.br,Eduardo Eddy,82549962019,pai.659985.89@gmail.com,(32)52498-3211,Rosalyn Rosa,49889101426,659985_mae@email.com.br,(70)47247-1484
656331,Franklind Frank,2 B,656331_aluno@email.com.br,Winnifred Winnie,27544622135,pai.656331.25@gmail.com,(71)96869-9174,Smith Smitty,58010306794,mae.656331.24@gmail.com,(80)41407-0795
641758,Sullivan Sully,4 A,aluno.641758.40@gmail.com,Vic Vicky,87125410266,641758_pai@email.com.br,(73)93545-2675,Elisha Eli,13356654637,mae.641758.18@gmail.com,(35)84712-4104
640419,Richard Rick,4 B,640419_aluno@email.com.br,Gabrielle Ella,87598085905,640419_pai@email.com.br,(90)70636-8940,Sylvester Vester,31109337142,640419_mae@email.com.br,(68)03473-7903
632589,Sandra Sandy,5 B,aluno.632589.71@gmail.com,Uriah Riah,22167109701,pai.632589.93@gmail.com,(30)52621-1058,Solomon Solly,95499449599,632589_mae@email.com.br,(11)42083-5590
607545,Margaret Margery,1 C,607545_aluno@email.com.br,Genevieve Jean,53815983268,607545_pai@email.com.br,(91)94309-3443,Rich Riche,78058982094,mae.607545.79@gmail.com,(99)33004-1503
597793,Kimberly Kim,9 C,597793_aluno@email.com.br,Charlotte Lottie,62602162416,597793_pai@email.com.br,(96)16337-1652,Gum Monty,58540166214,597793_mae@email.com.br,(16)66430-0690
579138,Carol Lynn,5 C,aluno.579138.48@gmail.com,Margaretta Midge,53755493001,579138_pai@email.com.br,(27)07586-6159,Eduardo Eddie,23674896595,579138_mae@email.com.br,(58)99501-0368
573434,Frieda Freddy,1 B,aluno.573434.47@gmail.com,Bridget Biddy,53901354990,pai.573434.44@gmail.com,(85)41931-6145,Roberta Robbie,95841079184,573434_mae@email.com.br,(36)03847-9550
565496,Amanda Manda,9 A,aluno.565496.89@gmail.com,Josephine Fina,22507667533,pai.565496.38@gmail.com,(49)72493-3714,Isaac Ike,63734520834,565496_mae@email.com.br,(66)73150-3889
558502,Priscilla Cilla,4 B,558502_aluno@email.com.br,Miranda Randy,95543285377,pai.558502.83@gmail.com,(51)30868-8960,Epaphroditius Dyche,19231689839,558502_mae@email.com.br,(15)66631-6524
544160,Katherine Kaye,5 B,aluno.544160.96@gmail.com,Laurence Lorry,12173401403,544160_pai@email.com.br,(61)28998-8940,cheryl sheryl,11145000397,544160_mae@email.com.br,(36)02001-5050
527463,Randolph Randy,3 C,527463_aluno@email.com.br,Leslie Les,62127633840,527463_pai@email.com.br,(41)62682-3852,Olivia Ollie,99592166710,mae.527463.66@gmail.com,(59)42387-2164
513477,Benjamin Ben,2 A,aluno.513477.14@gmail.com,Lemuel Lem,53895865170,pai.513477.95@gmail.com,(96)03748-5723,Patricia Patty,98576086057,mae.513477.40@gmail.com,(19)67789-2502
500727,Terence Terry,9 A,aluno.500727.94@gmail.com,Frieda Fred,28399469357,pai.500727.13@gmail.com,(64)10252-9898,Frances Cissy,92552719962,mae.500727.49@gmail.com,(17)99846-1356
497720,Madeline Magda,2 C,497720_aluno@email.com.br,Roger Rupert,95491597668,497720_pai@email.com.br,(50)61086-2074,Edmond Eddie,37943873892,497720_mae@email.com.br,(39)43545-5241
494871,Dorothy Dolly,8 A,494871_aluno@email.com.br,Loretta Etta,65589189115,pai.494871.83@gmail.com,(61)90360-9177,Conrad Con,69168317081,mae.494871.90@gmail.com,(87)54126-7279
486624,Rudolph Rolf,9 A,aluno.486624.83@gmail.com,Evaline Eve,46536566339,pai.486624.31@gmail.com,(36)75626-7756,Beatrice Trixie,17697107916,mae.486624.51@gmail.com,(61)68929-0397
478567,Isabella Ib,8 A,478567_aluno@email.com.br,Eleanor Elaine,28104351567,pai.478567.17@gmail.com,(98)69030-2015,Virginia Jennie,71806345422,mae.478567.81@gmail.com,(91)15345-8921
478535,Roxanna Rose,5 B,aluno.478535.92@gmail.com,Helene Lena,58079184365,478535_pai@email.com.br,(64)36931-2391,Roseanne Ann,57212005380,478535_mae@email.com.br,(92)22644-1617
472335,Roberta Bobbie,2 B,472335_aluno@email.com.br,Barbara Bab,64895936293,472335_pai@email.com.br,(47)82864-2134,Lillah Lolly,88248555176,472335_mae@email.com.br,(63)18457-5373
455814,Epaphroditius Eppa,6 B,aluno.455814.47@gmail.com,Bartholomew Bat,88944680694,pai.455814.27@gmail.com,(26)01421-4077,Kristine Kristy,18775700026,455814_mae@email.com.br,(62)44146-9863
432409,Nathaniel Nat,1 B,aluno.432409.97@gmail.com,Frederick Fritz,38160341345,432409_pai@email.com.br,(65)26779-8044,Josiah Jos,90118323872,mae.432409.31@gmail.com,(77)53592-7941
412549,Kenneth Kenny,4 A,412549_aluno@email.com.br,Robert Bob,88907931058,pai.412549.27@gmail.com,(96)34916-9324,Bartholomew Mees,85566468606,412549_mae@email.com.br,(64)00090-9322
411616,Eleanor Nora,3 A,aluno.411616.20@gmail.com,Ricardo Rick,12956831943,411616_pai@email.com.br,(94)24028-9478,Cassandra Sandy,25722447703,411616_mae@email.com.br,(72)20973-8123
408301,Alonzo Lon,5 A,408301_aluno@email.com.br,Bert Bobby,43750996489,408301_pai@email.com.br,(61)65295-9366,Lenora Nora,62994170431,408301_mae@email.com.br,(16)98103-5283
393396,Dorothy Dortha,6 B,393396_aluno@email.com.br,Kristine Tina,37277691626,pai.393396.63@gmail.com,(78)02891-8984,Zachariah Zeke,25556559823,393396_mae@email.com.br,(68)79087-1345
379265,Edwin Ed,1 A,379265_aluno@email.com.br,Daniel Dan,14576120196,pai.379265.54@gmail.com,(44)51051-1582,Margaret Rita,40320877387,379265_mae@email.com.br,(26)68457-2099
377369,Chester Chet,7 B,377369_aluno@email.com.br,Margaret Maggie,38270885454,377369_pai@email.com.br,(93)01294-9071,Obadiah Obie,35842498990,377369_mae@email.com.br,(40)61051-7180
359059,Lavina Vina,6 B,aluno.359059.54@gmail.com,Rodger Bobby,66439798193,pai.359059.97@gmail.com,(16)83395-9184,Christine Chris,13983893142,359059_mae@email.com.br,(63)15207-5212
358344,Elizabeth Lisa,9 C,aluno.358344.40@gmail.com,Edmund Ned,30321556332,358344_pai@email.com.br,(37)14408-5010,Kristine Christy,49671163021,358344_mae@email.com.br,(72)63864-1495
357217,Valerie Val,6 A,357217_aluno@email.com.br,Simon Sion,62131123846,357217_pai@email.com.br,(53)66351-6552,Christian Chris,78994703720,357217_mae@email.com.br,(59)45627-5017
346443,Frances Fran,2 C,aluno.346443.34@gmail.com,Casey K.C.,40912424101,346443_pai@email.com.br,(52)93079-6820,Epaphroditius Dite,70850506910,346443_mae@email.com.br,(32)63373-2150
344163,Alonzo Lonzo,4 A,344163_aluno@email.com.br,Jean Jane,29334684031,pai.344163.28@gmail.com,(72)70687-3309,Zephaniah Zeph,16670151185,344163_mae@email.com.br,(41)03583-9440
342047,Stephen Steph,2 C,aluno.342047.43@gmail.com,Jeffrey Jeff,36542579406,pai.342047.80@gmail.com,(96)51633-0071,Robert Dob,85936912916,342047_mae@email.com.br,(14)22541-8743
341352,Sylvester Sy,7 C,aluno.341352.21@gmail.com,Vincenzo Vin,38046491473,341352_pai@email.com.br,(23)40734-1929,Christiana Crissy,10164834359,341352_mae@email.com.br,(40)13380-4525
329793,Henrietta Nettie,7 A,aluno.329793.54@gmail.com,Jeanette Janet,55922211729,pai.329793.10@gmail.com,(75)49593-1362,Cecilia Celia,27790638941,329793_mae@email.com.br,(60)58298-4908
319118,Timothy Timmy,9 C,319118_aluno@email.com.br,Ellswood Elsey,61247097982,pai.319118.50@gmail.com,(11)13605-0027,William Bela,52351509437,319118_mae@email.com.br,(73)30731-7499
319097,Janet Jessie,8 B,aluno.319097.61@gmail.com,Kathleen Cassie,98375251687,319097_pai@email.com.br,(11)20032-9408,Adaline Delia,21731588268,319097_mae@email.com.br,(50)33810-9912
313381,Dalton Dahl,1 C,aluno.313381.40@gmail.com,Matthew Mattie,88874320004,313381_pai@email.com.br,(86)44170-4091,Joanna Jody,46579116729,mae.313381.94@gmail.com,(71)13948-4583
285793,Rachel Shelly,3 A,aluno.285793.43@gmail.com,Alfred Fred,86763390691,285793_pai@email.com.br,(33)47115-5131,Ricky Rich,69846515983,mae.285793.45@gmail.com,(73)62862-6673
281581,Richard Rich,4 B,281581_aluno@email.com.br,Dennison Denny,57468391926,281581_pai@email.com.br,(82)98032-4701,Caroline Carrie,58259686266,281581_mae@email.com.br,(31)67308-2258
278842,Ossy Ozzy,8 C,aluno.278842.26@gmail.com,Donald Dony,35385619930,278842_pai@email.com.br,(78)30825-7033,Debra Debbie,16207450913,mae.278842.31@gmail.com,(91)74761-0651
276215,Isabelle Ib,2 A,aluno.276215.28@gmail.com,Matthias Matt,12669954561,pai.276215.50@gmail.com,(99)27291-1437,Carolyn Lynn,51108026206,276215_mae@email.com.br,(96)43213-2428
264798,Brady Brody,3 B,264798_aluno@email.com.br,Jeanne Jane,39860924726,pai.264798.45@gmail.com,(98)05194-2265,Roseanna Roz,16164563881,264798_mae@email.com.br,(20)27297-4125
260039,Carolyn Carrie,3 A,260039_aluno@email.com.br,Trix Trixie,79359864296,260039_pai@email.com.br,(36)86012-3345,Darlene Darry,32356671499,mae.260039.84@gmail.com,(84)20124-9259
236710,Clarinda Clara,7 A,236710_aluno@email.com.br,Peter Pete,63801112389,236710_pai@email.com.br,(90)98073-1097,Helene Ellen,34104210272,mae.236710.80@gmail.com,(75)07277-7972
229811,Geraldine Jerry,2 C,aluno.229811.49@gmail.com,Elizabeth Bess,40220745111,pai.229811.16@gmail.com,(36)28536-7979,Alfred Freddy,80586507416,mae.229811.46@gmail.com,(79)61578-1503
215490,Cathleen Trina,4 B,aluno.215490.26@gmail.com,Patience Pat,82605568431,215490_pai@email.com.br,(97)09654-1031,Ricky Dick,58421707789,mae.215490.60@gmail.com,(44)23512-9941
200558,Lydia Lyddy,6 C,200558_aluno@email.com.br,Alonzo Al,48643807424,pai.200558.73@gmail.com,(97)79296-9587,Joseph Joe,50489325482,mae.200558.11@gmail.com,(85)45660-4209
199716,James Jim,8 A,199716_aluno@email.com.br,Will Bill,66367945603,199716_pai@email.com.br,(21)83401-5628,Nathaniel Nathan,97272015446,mae.199716.10@gmail.com,(16)96402-6697
199425,Cameron Cam,8 B,199425_aluno@email.com.br,Manny Manuel,55563338071,pai.199425.92@gmail.com,(79)19695-5486,Rudolph Olph,32628810068,199425_mae@email.com.br,(93)67513-7197
194436,Joseph Jos,5 C,194436_aluno@email.com.br,Aaron Ronnie,77244907714,pai.194436.97@gmail.com,(71)74578-9622,Rafaela Rafa,14585431382,mae.194436.70@gmail.com,(88)34047-4315
160148,Yvonne Vonna,2 C,aluno.160148.88@gmail.com,Andy Drew,82760299007,pai.160148.30@gmail.com,(11)90720-4214,Lucias Luke,87600270886,160148_mae@email.com.br,(76)61929-4041
149637,Bella Belle,5 B,149637_aluno@email.com.br,Elizabeth Lib,25527359978,pai.149637.78@gmail.com,(94)63026-3873,Stephen Steve,64708208059,149637_mae@email.com.br,(87)66829-0826
148070,Laurence Lonny,6 B,148070_aluno@email.com.br,Jane Janie,63235145776,148070_pai@email.com.br,(51)03869-0403,Roger Hodge,68099986656,mae.148070.98@gmail.com,(99)99663-1254
127951,Marjorie Margie,7 B,aluno.127951.38@gmail.com,Janet Jan,12827281531,pai.127951.68@gmail.com,(31)55958-2318,Margaret Gretta,60523276974,mae.127951.83@gmail.com,(58)51089-5206
115595,Jon John,8 A,aluno.115595.67@gmail.com,Edmund Eddy,49529209677,pai.115595.15@gmail.com,(18)28513-7429,Amelia Amy,24487895210,mae.115595.59@gmail.com,(25)34378-9003
111452,Pamela Pam,1 C,aluno.111452.50@gmail.com,Hubert Bert,28177434177,111452_pai@email.com.br,(29)76861-3193,Martha Patty,39922457793,111452_mae@email.com.br,(75)21801-1752
103324,Jim Jimmie,8 A,103324_aluno@email.com.br,Wilson Willie,40389507669,pai.103324.43@gmail.com,(95)46921-8051,Berney Bernie,95100308644,103324_mae@email.com.br,(57)13049-4701
